element_ID,element_general_type,element_length,element_length_type,element_width,element_width_type,element_thickness,element_thickness_type
2,terminal deposit,7150,true (maximum),4800,true (maximum),20,true (maximum)
3,terminal deposit,20240,true (maximum),12650,true (maximum),60,true (maximum)
42,channel,NA,true (maximum),350,true (not maximum),50,true (maximum)
50,levee,1000,true (maximum),446,apparent,NA,NA
52,channel,NA,true (maximum),1320,true (maximum),48,true (maximum)
54,levee,13000,apparent,NA,NA,55,true (maximum)
67,terminal deposit,6000,true (maximum),3100,true (maximum),15,true (maximum)
68,terminal deposit,8000,true (maximum),3550,true (maximum),19,true (maximum)
76,terminal deposit,14111,true (maximum),7663,true (maximum),27,true (maximum)
273,levee,NA,NA,NA,NA,NA,NA
279,channel,NA,NA,275,partial observed,NA,NA
280,channel,350,unlimited observed,320,partial eroded,4.5,true (maximum)
282,channel,NA,NA,325,apparent,NA,NA
283,channel,NA,NA,300,unlimited observed,NA,NA
284,channel,NA,NA,300,unlimited observed,NA,NA
286,channel,NA,NA,300,unlimited observed,NA,NA
287,channel,NA,NA,300,unlimited observed,NA,NA
424,channel,NA,NA,NA,NA,31,partial observed
428,channel,NA,NA,NA,NA,NA,NA
429,channel,NA,NA,226,apparent,13.19999981,true (maximum)
430,channel,NA,NA,153,apparent,9.899999619,true (maximum)
432,channel,NA,NA,275,apparent,24,true (maximum)
433,channel,NA,NA,437,apparent,18,true (maximum)
449,channel,NA,NA,335.2999878,apparent,7.800000191,true (maximum)
450,channel,NA,NA,NA,NA,17,true (maximum)
451,channel,NA,NA,160,apparent,26.70000076,true (maximum)
454,channel,NA,NA,33.20000076,apparent,3,true (maximum)
460,channel,NA,NA,422.3999939,apparent,8.199999809,true (maximum)
682,levee,NA,NA,250,unlimited observed,5,true (maximum)
684,levee,NA,NA,250,unlimited observed,9,true (maximum)
746,channel,NA,partial observed,NA,NA,NA,NA
1228,terminal deposit,NA,NA,NA,NA,5.130000114,true (maximum)
1229,terminal deposit,NA,NA,NA,NA,13.32999992,true (maximum)
1230,terminal deposit,NA,NA,NA,NA,11.52999973,true (maximum)
1231,terminal deposit,NA,NA,NA,NA,10.52000046,true (maximum)
1232,terminal deposit,NA,NA,NA,NA,8.550000191,partial observed
1233,terminal deposit,NA,NA,NA,NA,6.860000134,true (maximum)
1234,terminal deposit,NA,NA,NA,NA,11.44999981,true (maximum)
1235,terminal deposit,NA,NA,NA,NA,14.92000008,true (maximum)
1236,terminal deposit,NA,NA,NA,NA,5.889999866,true (maximum)
1238,terminal deposit,NA,NA,NA,NA,4.090000153,partial observed
1239,terminal deposit,NA,NA,NA,NA,4.920000076,true (maximum)
1240,terminal deposit,NA,NA,NA,NA,11.59000015,true (maximum)
1241,terminal deposit,NA,NA,NA,NA,4.820000172,true (maximum)
1242,terminal deposit,NA,NA,NA,NA,11.64000034,partial observed
1271,channel,NA,NA,165,partial eroded,12,true (not maximum)
1273,channel,NA,NA,490,partial eroded,12.89999962,true (not maximum)
1274,channel,NA,NA,469,partial eroded,13.60000038,true (not maximum)
1277,channel,NA,NA,408,apparent,14.89999962,true (maximum)
1280,channel,NA,NA,100,partial eroded,8.800000191,true (maximum)
1281,channel,NA,NA,130,partial eroded,10,true (maximum)
1282,channel,NA,NA,91,partial eroded,9.100000381,true (maximum)
1285,channel,NA,NA,194,partial eroded,8.100000381,true (maximum)
1291,channel,NA,NA,122,partial eroded,12.80000019,true (maximum)
1294,channel,NA,NA,76,partial eroded,11.5,true (maximum)
1296,channel,NA,NA,157,apparent,14.30000019,true (maximum)
1297,channel,NA,NA,218,apparent,13.69999981,true (maximum)
1298,channel,NA,NA,388,apparent,22,true (maximum)
1299,channel,NA,NA,771,apparent,13,true (not maximum)
1303,channel,NA,NA,300,partial observed,28.29000092,partial observed
1307,channel,NA,NA,604,partial observed,13,true (maximum)
1310,channel,NA,NA,386,apparent,30,partial observed
1311,channel,NA,NA,385,unlimited eroded,19.5,partial observed
1324,channel,NA,NA,356,apparent,7,true (maximum)
1325,channel,NA,NA,365,apparent,12.25,true (maximum)
1326,channel,NA,NA,169,partial observed,6,true (not maximum)
1328,channel,NA,NA,207,partial observed,2.5,true (not maximum)
1329,channel,NA,NA,228,partial observed,5.5,true (not maximum)
1334,channel,NA,NA,359,partial eroded,15,partial observed
1339,channel,NA,NA,231,partial eroded,10,true (maximum)
1341,channel,NA,NA,694,partial eroded,9.100000381,partial eroded
1358,channel,NA,NA,170,partial eroded,9.5,partial eroded
1359,channel,NA,NA,122,partial observed,13.89999962,partial eroded
1360,channel,NA,NA,510,apparent,14.69999981,unlimited eroded
1390,channel,NA,NA,NA,NA,NA,NA
1391,channel,NA,NA,NA,NA,NA,NA
1392,channel,NA,NA,NA,NA,NA,NA
1393,channel,NA,NA,NA,NA,NA,NA
1397,terminal deposit,NA,NA,NA,NA,NA,NA
1398,terminal deposit,NA,NA,NA,NA,NA,NA
1399,terminal deposit,NA,NA,NA,NA,NA,NA
