subset_ID,data_type,facies_suit_proportions_type,case_study_ID,cs_age_from,cs_age_to,system_ID,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate,age_order
1,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
36,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
66,"high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures",1,2,1,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
2,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse,45
160,outcrop,"type,grain size,general structures,laminations",2,65,65,2,65,65,1,sandy system,Bashkirian,Lower Pennsylvanian,Carboniferous,Paleozoic,323.2,315.2,icehouse,45
4,outcrop,"type,grain size,general structures,laminations",4,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse,54.5
10,outcrop,"type,grain size,general structures,laminations",8,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
19,outcrop,"type,general structures,laminations",13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse,86
20,outcrop,NA,13,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse,86
21,"high resolution 2D seismic,bathymetry,core","type,grain size,general structures,laminations",14,1,1,11,1,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
27,"conventional 3D seismic,wireline log,core","type,grain size,general structures,laminations",17,7,112,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
38,outcrop,"type,grain size,general structures,laminations",18,28,24,10,25,24,0.4689274,gravelly system,Campanian,Upper Cretaceous,Cretaceous,Mesozoic,83.6,72.1,greenhouse,86
41,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse,94
42,outcrop,"type,grain size,general structures,laminations",19,18,16,15,115,16,0.8027159,gravelly-sand system,Priabonian,Eocene,Paleogene,Cenozoic,37.71,33.9,greenhouse,94
43,outcrop,"type,grain size,general structures,laminations",20,9,7,16,9,7,0.7282256,gravelly-sand system,Zanclean,Pliocene,Neogene,Cenozoic,5.33,3.6,icehouse,103
100,outcrop,NA,100,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse,54.5
101,outcrop,"type,grain size",101,56,56,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse,54.5
102,outcrop,"type,grain size,general structures,laminations",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse,87
103,outcrop,"type,grain size,general structures",102,24,23,100,24,23,0.5209574,gravelly-sand system,Maastrichtian,Upper Cretaceous,Cretaceous,Mesozoic,72.1,66,greenhouse,87
104,outcrop,"type,grain size,general structures,laminations",103,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
112,outcrop,"type,grain size,general structures,laminations",107,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
113,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
114,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
115,outcrop,"type,grain size,general structures,laminations",108,15,15,210,17,15,0.971341,sandy system,Rupelian,Oligocene,Paleogene,Cenozoic,33.9,27.82,icehouse,95
116,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
117,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
118,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
119,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
120,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
121,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
122,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
123,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
124,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
125,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
126,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
127,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
128,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
129,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
130,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
131,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
132,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
133,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
134,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
135,high resolution 2D seismic,NA,109,113,1,14,115,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse,109
137,outcrop,NA,111,143,143,5,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain,9.5
138,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
139,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
140,outcrop,NA,112,58,55,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
143,outcrop,"type,grain size,general structures,laminations",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
144,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
145,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
146,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
147,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
148,outcrop,"type,grain size",113,18,16,108,115,115,0.8777629,gravelly-sand system,(Eocene),Eocene,Paleogene,Cenozoic,56,33.9,greenhouse,94.5
158,outcrop,NA,118,113,113,16,9,7,0.7282256,gravelly-sand system,Zanclean,Pliocene,Neogene,Cenozoic,5.33,3.6,icehouse,103
159,outcrop,NA,119,126,126,4,126,126,1,sandy system,(Guadalupian),Guadalupian,Permian,Paleozoic,273.01,259.51,icehouse,54.5
161,"core,outcrop","type,grain size,general structures,laminations",120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
162,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
163,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
164,"core,outcrop",NA,120,125,125,107,58,55,1,sandy system,Capitanian,Guadalupian,Permian,Paleozoic,264.28,259.51,icehouse,55
274,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
275,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
276,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
277,"core,outcrop","type,grain size,general structures,laminations",124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
278,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
279,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
280,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
281,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
282,core,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
283,outcrop,NA,124,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
284,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
285,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
286,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
287,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
288,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
289,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
290,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
291,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
292,outcrop,NA,125,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
293,outcrop,"type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
294,outcrop,"type,grain size,general structures,laminations",126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
295,"core,outcrop",type,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
296,"core,outcrop",NA,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
297,"core,outcrop",NA,126,125,125,112,125,125,1,sandy system,(Lopingian),Lopingian,Permian,Paleozoic,259.51,251.9,greenhouse,57.5
