artificial_bed_id,code,bed_thickness,log_ID,element_ID,subset_ID,case_study_ID,system_ID,element_general_type,cs_age_from,cs_age_to,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate
1,S-N-m,0.28,3,50,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
2,S-N-m,0.1,3,50,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
3,S-N-m,0.12,4,67,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
4,S-N-x,0.07,4,67,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
5,S-N-x,0.11,4,67,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
6,S-F-x,0.121,5,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
7,S-N-l,0.027,5,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
8,S-F-x,0.054,5,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
9,S-N-m,0.3,6,50,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
10,S-N-m,0.16,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
11,S-N-m,0.02,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
12,S-N-m,0.02,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
