facies_type,element_general_type,period,era,climate,sys_gs_category,stacked_thickness
M,levee,Quaternary,Cenozoic,icehouse,sandy system,2.41
M,levee,Quaternary,Cenozoic,icehouse,sandy system,2.79
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,levee,Quaternary,Cenozoic,icehouse,sandy system,2.38
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.31
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.4
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.54
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,1.49
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.111
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.019
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.218
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.34
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.25
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.64
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.82
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.79
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.025
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.58
M,channel,Quaternary,Cenozoic,icehouse,sandy system,2.23
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.52
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.59
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.15
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.3
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.32
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.25
M,levee,Quaternary,Cenozoic,icehouse,sandy system,3.08
M,levee,Quaternary,Cenozoic,icehouse,sandy system,6.575
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.75
M,levee,Quaternary,Cenozoic,icehouse,sandy system,7.3
M,channel,Quaternary,Cenozoic,icehouse,sandy system,1.08
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.75
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.42
M,channel,Quaternary,Cenozoic,icehouse,sandy system,1.4
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.2
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.08
M,channel,Quaternary,Cenozoic,icehouse,sandy system,2.85
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,4.17
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,2.92
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.525
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.18
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.025
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.45
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,4.095
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,4.125
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.6
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.5
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.31
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.15
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.7
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,2.83
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.45
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.296
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.175
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,1.8
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,1.99
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,2.4
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,6
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,1.9
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.9
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.44
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,0.42
M,terminal deposit,Quaternary,Cenozoic,icehouse,sandy system,4.93
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,3.08
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,8
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,6.92
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,2.96
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.44
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,9.83
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.5
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,2.72
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.32
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,12.16
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.28
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.6
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.88
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.52
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,10.44
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.76
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.4
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,6.52
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.2
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.56
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.2
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,3.28
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.2
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,60.42
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.21
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,4.74
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.4
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.82
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.15
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.15
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.24
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,4.65
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.17
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.2
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.27
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.17
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.97
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.43
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.23
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.13
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,3.1
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.83
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.27
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.1
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.27
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.33
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.3
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.87
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.7
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,3.1
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.63
M,channel,Cretaceous,Mesozoic,greenhouse,sandy system,0.97
M,channel,Cretaceous,Mesozoic,greenhouse,sandy system,0.18
M,channel,Cretaceous,Mesozoic,greenhouse,sandy system,0.27
M,channel,Cretaceous,Mesozoic,greenhouse,sandy system,0.18
M,channel,Cretaceous,Mesozoic,greenhouse,sandy system,0.14
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.17
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.07
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.09
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.09
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.05
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.76
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.19
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,channel,Carboniferous,Paleozoic,icehouse,sandy system,0.03
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.08
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.57
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.08
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.08
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.07
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.25
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.13
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.08
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.04
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.06
M,terminal deposit,Carboniferous,Paleozoic,icehouse,sandy system,0.05
M,channel,Permian,Paleozoic,icehouse,sandy system,0.8
M,channel,Permian,Paleozoic,icehouse,sandy system,0.24
M,channel,Permian,Paleozoic,icehouse,sandy system,0.3
M,channel,Permian,Paleozoic,icehouse,sandy system,0.19
M,channel,Permian,Paleozoic,icehouse,sandy system,0.15
M,channel,Permian,Paleozoic,icehouse,sandy system,0.093
M,channel,Permian,Paleozoic,icehouse,sandy system,0.22
M,channel,Permian,Paleozoic,icehouse,sandy system,0.35
M,channel,Permian,Paleozoic,icehouse,sandy system,0.1
M,channel,Permian,Paleozoic,icehouse,sandy system,0.22
M,channel,Permian,Paleozoic,icehouse,sandy system,0.54
M,channel,Permian,Paleozoic,icehouse,sandy system,0.28
M,channel,Permian,Paleozoic,icehouse,sandy system,0.18
M,channel,Permian,Paleozoic,icehouse,sandy system,0.2
M,channel,Permian,Paleozoic,icehouse,sandy system,0.18
M,channel,Permian,Paleozoic,icehouse,sandy system,0.22
M,channel,Permian,Paleozoic,icehouse,sandy system,0.25
M,channel,Permian,Paleozoic,icehouse,sandy system,0.04
M,channel,Permian,Paleozoic,icehouse,sandy system,0.53
M,channel,Permian,Paleozoic,icehouse,sandy system,0.09
M,channel,Permian,Paleozoic,icehouse,sandy system,0.15
M,channel,Permian,Paleozoic,icehouse,sandy system,0.1
M,channel,Permian,Paleozoic,icehouse,sandy system,0.1
M,channel,Permian,Paleozoic,icehouse,sandy system,0.04
M,channel,Permian,Paleozoic,icehouse,sandy system,0.1
M,channel,Permian,Paleozoic,icehouse,sandy system,0.15
M,channel,Permian,Paleozoic,icehouse,sandy system,0.13
M,channel,Permian,Paleozoic,icehouse,sandy system,0.1
M,channel,Permian,Paleozoic,icehouse,sandy system,0.28
M,channel,Permian,Paleozoic,icehouse,sandy system,0.15
M,channel,Permian,Paleozoic,icehouse,sandy system,0.09
M,channel,Permian,Paleozoic,icehouse,sandy system,0.13
M,channel,Permian,Paleozoic,icehouse,sandy system,0.38
M,channel,Permian,Paleozoic,icehouse,sandy system,0.57
M,channel,Permian,Paleozoic,icehouse,sandy system,0.12
M,channel,Permian,Paleozoic,icehouse,sandy system,0.15
M,channel,Permian,Paleozoic,icehouse,sandy system,0.3
M,channel,Permian,Paleozoic,icehouse,sandy system,0.26
M,channel,Permian,Paleozoic,icehouse,sandy system,0.04
M,channel,Permian,Paleozoic,icehouse,sandy system,0.11
M,channel,Permian,Paleozoic,icehouse,sandy system,0.28
M,channel,Permian,Paleozoic,icehouse,sandy system,0.41
M,channel,Permian,Paleozoic,icehouse,sandy system,0.13
M,channel,Permian,Paleozoic,icehouse,sandy system,0.06
M,channel,Permian,Paleozoic,icehouse,sandy system,0.07
M,channel,Permian,Paleozoic,icehouse,sandy system,0.54
M,channel,Permian,Paleozoic,icehouse,sandy system,0.06
M,channel,Permian,Paleozoic,icehouse,sandy system,0.03
M,channel,Permian,Paleozoic,icehouse,sandy system,0.11
M,channel,Permian,Paleozoic,icehouse,sandy system,0.07
M,channel,Permian,Paleozoic,icehouse,sandy system,0.11
M,channel,Permian,Paleozoic,icehouse,sandy system,0.11
M,channel,Permian,Paleozoic,icehouse,sandy system,0.07
M,channel,Permian,Paleozoic,icehouse,sandy system,0.07
M,channel,Permian,Paleozoic,icehouse,sandy system,0.2
M,channel,Permian,Paleozoic,icehouse,sandy system,0.11
M,channel,Permian,Paleozoic,icehouse,sandy system,0.52
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.19
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.06
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.91
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.94
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.378
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.66
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.16
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.09
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,5.5
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.33
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.17
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.27
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.23
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.47
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,2.3
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.77
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,2.77
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.87
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.7
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.27
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.53
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.13
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.57
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.17
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,4.9
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,2.93
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.93
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.7
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.93
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,7.87
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.38
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.47
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,5.19
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.19
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.25
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.16
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.22
