"seed","selected system type","selected element","selected climate","force net-to-gross","selected net-to-gross","net-to-gross margin","modelled net-to-gross","stochastic bed frequency","selected bed number","selected sand thickness (m)","sand thickness margin","modelled sand thickness (m)","modelled mud thickness (m)","modelled element thickness (m)","modelled sand-gravel fraction","vertical trend"
"2","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.87","TRUE","26","14","0.5","13.51","2.07","15.58","0.87","-0.03"
"3","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.98","TRUE","16","14","0.5","13.99","0.36","14.35","0.98","-0.01"
"4","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.82","TRUE","22","17","0.5","16.84","3.63","20.47","0.82","-0.18"
"5","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.74","TRUE","13","11","0.5","10.94","3.76","14.7","0.74","-0.02"
"6","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.81","TRUE","21","14","0.5","14.08","3.28","17.36","0.81","-0.08"
"7","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.46","TRUE","21","19","0.5","19.22","22.82","42.04","0.46","0.04"
"8","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.94","TRUE","13","13","0.5","13.15","0.8","13.95","0.94","-0.13"
"9","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.92","TRUE","17","20","0.5","19.51","1.7","21.21","0.92","-0.13"
"10","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.96","TRUE","22","20","0.5","20.06","0.92","20.98","0.96","-0.01"
"11","gravelly-sand system","channel","greenhouse","FALSE","0.85","0.05","0.89","TRUE","13","19","0.5","19.04","2.4","21.44","0.89","-0.02"
