"seed","selected system type","selected element","selected climate","force net-to-gross","selected net-to-gross","net-to-gross margin","modelled net-to-gross","stochastic bed frequency","selected bed number","selected sand thickness (m)","sand thickness margin","modelled sand thickness (m)","modelled mud thickness (m)","modelled element thickness (m)","modelled sand-gravel fraction","vertical trend"
"1","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.98","TRUE","15","18","0.5","18.44","0.33","18.77","0.98","-0.02"
"2","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.9","TRUE","26","14","0.5","13.66","1.55","15.21","0.9","-0.02"
"3","sandy system","channel","greenhouse","FALSE","0.85","0.05","1","TRUE","16","14","0.5","14.39","0.05","14.44","1","-0.03"
"4","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.96","TRUE","22","17","0.5","17.17","0.76","17.93","0.96","-0.1"
"5","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.92","TRUE","13","11","0.5","11.39","0.93","12.32","0.92","-0.11"
"6","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.84","TRUE","21","14","0.5","13.57","2.53","16.1","0.84","-0.04"
"7","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.87","TRUE","21","19","0.5","19.35","2.77","22.12","0.87","0.01"
"8","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.96","TRUE","13","13","0.5","13.37","0.59","13.96","0.96","-0.07"
"10","sandy system","channel","greenhouse","FALSE","0.85","0.05","1","TRUE","22","20","0.5","20.18","0","20.18","1","-0.04"
"12","sandy system","channel","greenhouse","FALSE","0.85","0.05","0.9","TRUE","13","11","0.5","10.65","1.13","11.78","0.9","-0.1"
