"seed","selected system type","selected element","selected climate","force net-to-gross","selected net-to-gross","net-to-gross margin","modelled net-to-gross","stochastic bed frequency","selected bed number","selected sand thickness (m)","sand thickness margin","modelled sand thickness (m)","modelled mud thickness (m)","modelled element thickness (m)","modelled sand-gravel fraction","vertical trend"
"1","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.87","TRUE","15","18","0.5","18.06","2.58","20.64","0.87","0.04"
"2","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.73","TRUE","26","14","0.5","13.7","4.97","18.67","0.73","0.03"
"4","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.77","TRUE","22","17","0.5","16.76","5.11","21.87","0.77","0.01"
"6","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.83","TRUE","21","14","0.5","14.47","3.06","17.53","0.83","-0.23"
"8","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.94","TRUE","13","13","0.5","13.47","0.85","14.32","0.94","0.13"
"10","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.89","TRUE","22","20","0.5","19.88","2.54","22.42","0.89","0.11"
"12","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.9","TRUE","13","11","0.5","10.72","1.17","11.89","0.9","0.02"
"14","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.78","TRUE","20","18","0.5","17.86","5","22.86","0.78","0"
"16","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.86","TRUE","12","10","0.5","9.59","1.54","11.13","0.86","-0.01"
"17","sandy system","terminal deposit","greenhouse","FALSE","0.7","0.05","0.68","TRUE","29","11","0.5","10.87","5.07","15.94","0.68","0.01"
